Resource ID(s),Unique Identifier,Item Title,Date,Date Type,Digitization Nomination,Checksum Type,Publisher,Subject,Contributor,Description,Rights Statement,Storage Location,Physical Format,Generations,Condition,Asset Type,Channel Configuration Physical,Rights Summary,Language,Channel Configuration Digital,Preservation Sample Rate,Preservation Bit Depth,Digitization Grant,Duration Physical,Written notes on casing,Removal Nomination,Related Item IDs,Ancillary Materials,Program Name,Digital QC notes,Preservation Filename,Preservation File Location,Preservation Filesize,Checksum Value,Digitization Vendor,KBOO episode ID,Proxy Filename,Temporal Coverage,Date Digitized,Duration Digital,Audio Time Start,Spatial Coverage,Identifier2,IdentifierSource2
17310,D-076,Global Forest Trade Battle Shaping Up,1999-10-23,unknown,,,,"Economy, Global Affairs",Victor Menotti,"Victor Menotti speaks about genetically modified organisms (GMOs) and food in terms of meat. Menotti's portion ends at 00:43:00. Jim Jontz (Word Trade Organization teach in at Portland, OR) talk about our forests and environment which ends 01:02:00.","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,DAT,,,,,Saleable,,stereo,44.1 kHz,16 bits,,,,,,,,"clean and clear throughout, where the forest talk begins, the audio becomes a bit quieter 627 MB",,,627 MB,,,,,,2016-07-22,01:02:11,00:00:05,,,
17036,CS-1335,CS-1335 title,1999-10-23,unknown,,,,"Economy, Global Affairs",Gerry Sussman,ChetBowers_effectOfWTO On Culture,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
17034,CS-1333,CS-1333 title,1999-10-22,unknown,,,,Science/Technology,,panel,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
11756,10-1329,10-1329 title,1999-10-22,unknown,,,,"Science/Technology, Labor, Agriculture, Food",Terry Witt,panel: Pesticides:Ag Need Or CivilRightsViolation,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Saleable,,,,,,00:53:30,,,,,,,,,,,,,,,,,,,,
17109,CS-1408,CS-1408 title,1999-10-21,unknown,,,,,Susan Faludi,interview,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
17033,CS-1332,CS-1332 title,1999-10-20,unknown,,,,Environment/Climate,,global warming,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
17055,CS-1354,CS-1354 title,1999-10-18,unknown,,,,Environment/Climate,David Brower,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
11554,10-1127,Alternative Radio,1999-10-18,unknown,No,,Alternative Radio,"Economy, Corporations",David Korten,Alternative Radio-The Post-Corporate World,This is an Alternative Radio program.,KBOO Archives Room,1/4 inch audio tape,,,Episode,,Non-Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
17044,CS-1343,CS-1343 title,1999-10-16,unknown,,,,Environment/Climate,Ben White,on wildlands of Southern utah,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
16818,CS-1117,anti-whaling,1999-10-16,unknown,,,,Animals,Ben White,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
17237,D-014,Chiapas: Indian People & Human Rights,1999-10-14,unknown,,,,"Global Affairs, Indigenous",,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,DAT,,,,,Non-Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
17326,D-092,Barbara Ehrenreich,1999-10-13,unknown,,,,,Barbara Ehrenreich,"Subject talks about war and peace. Program ends at 00:53:00. Part of another program starts at 00:54:00. Very bad sound, a little hard to understand.","This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,DAT,,,,,Non-Saleable,,,,,,,,,,,,,,,,,,,,,,,,,,
14060,7-1777,7-1777 title,1999-10-13,unknown,,,,"War/Peace, Government/Politics",Wayne Morse,Gulf of Tonkin-VietNam,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Non-Saleable,,,,,,00:29:00,,,,,,,,,,,,,,,,,,,,
11552,10-1125,Alternative Radio,1999-10-12,unknown,No,,Alternative Radio,"Economy, Science/Technology",Dan Schiller,Alternative Radio-Digital Capitalism,This is an Alternative Radio program.,KBOO Archives Room,1/4 inch audio tape,,,Episode,,Non-Saleable,,,,,,00:59:00,,,,,,,,,,,,,,,,,,,,
11556,10-1129,10-1129 title,1999-10-11,unknown,,,,,Ralph Nader,,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/4 inch audio tape,,,,,Non-Saleable,,,,,,00:35:00,,,,,,,,,,,,,,,,,,,,
16995,CS-1294,CS-1294 title,1999-10-03,unknown,,,,"Race, Law/Courts/Crime",Mauri Saalakhan,TheArabScare:TheINS&Secret Evidence,"This audio is property of The KBOO Foundation and may include additional rights holders. It may be used for educational, scholarly, or private, personal use with attribution 'From KBOO Community Radio, Portland'. Any other use, such as commercial publication or multiple reproductions, requires written permission from The KBOO Foundation.",KBOO Archives Room,1/8 inch audio cassette,,,,,Non-Saleable,,,,,,00:28:00,,,,,,,,,,,,,,,,,,,,
